,orders.id,orders.name,orders.line_items.id,orders.fulfillment_status,orders.line_items.sku,orders.line_items.quantity,orders.line_items.fulfillment_status,orders.line_items.fulfillable_quantity,,,,,,,
5570606-857390,1227358011521,#5570606,2616411357313,partial,857390,2,fulfilled,0,,,,,,,
5570606-620527,1227358011521,#5570606,2616411390081,partial,620527,1,pending,1,,,,,,,
5570606-2435330,1227358011521,#5570606,2616411422849,partial,2435330,1,fulfilled,0,,,,,,,
5570558-2937159,1227356438657,#5570558,2616408113281,fulfilled,2937159,1,fulfilled,0,,,,,,,
5570558-2718992,1227356438657,#5570558,2616408146049,fulfilled,2718992,1,fulfilled,0,,,,,,,
5570553-460740,1227356274817,#5570553,2616407818369,partial,460740,1,fulfilled,0,,,,,,,
5570553-920512,1227356274817,#5570553,2616407851137,partial,920512,1,fulfilled,0,,,,,,,
5570553-571863,1227356274817,#5570553,2616407883905,partial,571863,10,pending,10,,,,,,,
5570544-933005,1227355979905,#5570544,2616406835329,partial,933005,1,fulfilled,0,,,,,,,
5570544-2936389,1227355979905,#5570544,2616406868097,partial,2936389,1,fulfilled,0,,,,,,,
5570544-483532,1227355979905,#5570544,2616406900865,partial,483532,1,pending,1,,,,,,,
5570544-44840,1227355979905,#5570544,2616406933633,partial,44840,1,pending,1,,,,,,,
5570544-2145184,1227355979905,#5570544,2616406966401,partial,2145184,1,fulfilled,0,,,,,,,
5570544-326992,1227355979905,#5570544,2616406999169,partial,326992,1,fulfilled,0,,,,,,,
5570544-395706,1227355979905,#5570544,2616407031937,partial,395706,1,pending,1,,,,,,,
5570474-21588,1227353686145,#5570474,2616402608257,partial,21588,15,fulfilled,0,,,,,,,
5570474-798086,1227353686145,#5570474,2616402641025,partial,798086,1,fulfilled,0,,,,,,,
5570474-798087,1227353686145,#5570474,2616402673793,partial,798087,3,pending,3,,,,,,,
5570329-851655,1227348934785,#5570329,2616391106689,fulfilled,851655,1,fulfilled,0,,,,,,,
5570329-1240906,1227348934785,#5570329,2616391139457,fulfilled,1240906,1,fulfilled,0,,,,,,,
5570153-517649,1227343167617,#5570153,2616378130561,partial,517649,1,fulfilled,0,,,,,,,
5570153-2882866,1227343167617,#5570153,2616378163329,partial,2882866,1,fulfilled,0,,,,,,,
5570153-2848608,1227343167617,#5570153,2616378196097,partial,2848608,1,fulfilled,0,,,,,,,
5570153-2864713,1227343167617,#5570153,2616378228865,partial,2864713,1,fulfilled,0,,,,,,,
5570153-ecofee-sku-1,1227343167617,#5570153,2616378261633,partial,ecofee-sku-1,1,pending,1,,,,,,,
5570153-ecofee-sku-2,1227343167617,#5570153,2616378294401,partial,ecofee-sku-2,1,pending,1,,,,,,,
5570153-ecofee-sku-3,1227343167617,#5570153,2616378327169,partial,ecofee-sku-3,1,pending,1,,,,,,,
5570064-927501,1227340251265,#5570064,2616371380353,fulfilled,927501,1,fulfilled,0,,,,,,,
5570064-242828,1227340251265,#5570064,2616371413121,fulfilled,242828,1,fulfilled,0,,,,,,,
5570006-504407,1227338350721,#5570006,2616367415425,partial,504407,1,fulfilled,0,,,,,,,
5570006-33169,1227338350721,#5570006,2616367448193,partial,33169,1,pending,1,,,,,,,
5570006-481786,1227338350721,#5570006,2616367480961,partial,481786,1,fulfilled,0,,,,,,,
5570006-557109,1227338350721,#5570006,2616367513729,partial,557109,1,fulfilled,0,,,,,,,
5570006-694433,1227338350721,#5570006,2616367546497,partial,694433,1,fulfilled,0,,,,,,,
5570006-481792,1227338350721,#5570006,2616367579265,partial,481792,1,fulfilled,0,,,,,,,
5570006-481790,1227338350721,#5570006,2616367612033,partial,481790,1,fulfilled,0,,,,,,,
5569987-684976,1227337728129,#5569987,2616365842561,fulfilled,684976,2,fulfilled,0,,,,,,,
5569987-2703820,1227337728129,#5569987,2616365875329,fulfilled,2703820,1,fulfilled,0,,,,,,,
5569966-41647,1227337040001,#5569966,2616364007553,partial,41647,1,pending,1,,,,,,,
5569966-26507,1227337040001,#5569966,2616364040321,partial,26507,1,pending,1,,,,,,,
5569966-13980,1227337040001,#5569966,2616364073089,partial,13980,1,pending,1,,,,,,,
5569966-26499,1227337040001,#5569966,2616364105857,partial,26499,1,pending,1,,,,,,,
5569966-1918897,1227337040001,#5569966,2616364138625,partial,1918897,1,fulfilled,0,,,,,,,
5569966-1127496,1227337040001,#5569966,2616364171393,partial,1127496,1,pending,1,,,,,,,
5569966-379031,1227337040001,#5569966,2616364204161,partial,379031,1,pending,1,,,,,,,
5569966-972981,1227337040001,#5569966,2616364236929,partial,972981,1,fulfilled,0,,,,,,,
5569966-2215557,1227337040001,#5569966,2616364269697,partial,2215557,1,pending,1,,,,,,,
5569966-271674,1227337040001,#5569966,2616364302465,partial,271674,1,pending,1,,,,,,,
5569966-634797,1227337040001,#5569966,2616364335233,partial,634797,1,pending,1,,,,,,,
5569966-387540,1227337040001,#5569966,2616364368001,partial,387540,1,pending,1,,,,,,,
5569966-592678,1227337040001,#5569966,2616364400769,partial,592678,1,pending,1,,,,,,,
5569966-566848,1227337040001,#5569966,2616364433537,partial,566848,1,pending,1,,,,,,,
5569966-657390,1227337040001,#5569966,2616364466305,partial,657390,5,fulfilled,0,,,,,,,
5569966-37361,1227337040001,#5569966,2616364499073,partial,37361,1,pending,1,,,,,,,
5569966-37343,1227337040001,#5569966,2616364531841,partial,37343,1,fulfilled,0,,,,,,,
5569955-2864699,1227336679553,#5569955,2616362664065,partial,2864699,1,pending,1,,,,,,,
5569955-2961821,1227336679553,#5569955,2616362696833,partial,2961821,3,pending,3,,,,,,,
5569955-2948719,1227336679553,#5569955,2616362729601,partial,2948719,1,fulfilled,0,,,,,,,
5569955-2948699,1227336679553,#5569955,2616362762369,partial,2948699,1,pending,1,,,,,,,
5569955-2948704,1227336679553,#5569955,2616362795137,partial,2948704,1,fulfilled,0,,,,,,,
5569955-2948498,1227336679553,#5569955,2616362827905,partial,2948498,1,pending,1,,,,,,,
5569955-2949418,1227336679553,#5569955,2616362860673,partial,2949418,1,pending,1,,,,,,,
5569955-2948500,1227336679553,#5569955,2616362893441,partial,2948500,1,pending,1,,,,,,,
5569955-2959478,1227336679553,#5569955,2616362926209,partial,2959478,1,pending,1,,,,,,,
5569955-2949464,1227336679553,#5569955,2616362958977,partial,2949464,1,pending,1,,,,,,,
5569955-2949467,1227336679553,#5569955,2616362991745,partial,2949467,1,pending,1,,,,,,,
5569830-29242,1227332583553,#5569830,2616353947777,fulfilled,29242,1,fulfilled,0,,,,,,,
5569830-977955,1227332583553,#5569830,2616353980545,fulfilled,977955,1,fulfilled,0,,,,,,,
5569830-518061,1227332583553,#5569830,2616354013313,fulfilled,518061,1,fulfilled,0,,,,,,,
5569830-2927217,1227332583553,#5569830,2616354046081,fulfilled,2927217,1,fulfilled,0,,,,,,,
5569788-13715,1227331207297,#5569788,2616350539905,fulfilled,13715,2,fulfilled,0,,,,,,,
5569788-2942015,1227331207297,#5569788,2616350572673,fulfilled,2942015,1,fulfilled,0,,,,,,,
5569740-24337427,1227329634433,#5569740,2616346443905,fulfilled,24337427,1,fulfilled,0,,,,,,,
5569740-24337424,1227329634433,#5569740,2616346476673,fulfilled,24337424,1,fulfilled,0,,,,,,,
5569728-39521,1227329241217,#5569728,2616345493633,fulfilled,39521,4,fulfilled,0,,,,,,,
5569728-744976,1227329241217,#5569728,2616345526401,fulfilled,744976,4,fulfilled,0,,,,,,,
5569057-2942998,1227307253889,#5569057,2616297357441,fulfilled,2942998,1,fulfilled,0,,,,,,,
5569057-2937160,1227307253889,#5569057,2616297390209,fulfilled,2937160,1,fulfilled,0,,,,,,,
5569057-410146,1227307253889,#5569057,2616297422977,fulfilled,410146,2,fulfilled,0,,,,,,,
5569057-37344,1227307253889,#5569057,2616297455745,fulfilled,37344,3,fulfilled,0,,,,,,,
5569057-2929265,1227307253889,#5569057,2616297488513,fulfilled,2929265,1,fulfilled,0,,,,,,,
5566267-2801815,1227215831169,#5566267,2616122441857,fulfilled,2801815,1,fulfilled,0,,,,,,,
5566267-400229,1227215831169,#5566267,2616122474625,fulfilled,400229,1,fulfilled,0,,,,,,,
5566173-24373160,1227212750977,#5566173,2616117919873,fulfilled,24373160,1,fulfilled,0,,,,,,,
5566173-1913712,1227212750977,#5566173,2616117952641,fulfilled,1913712,1,fulfilled,0,,,,,,,
5563742-1570054,1227133091969,#5563742,2615983472769,fulfilled,1570054,1,fulfilled,0,,,,,,,
5563742-690464,1227133091969,#5563742,2615983505537,fulfilled,690464,1,fulfilled,0,,,,,,,
5563742-688340,1227133091969,#5563742,2615983538305,fulfilled,688340,1,fulfilled,0,,,,,,,
5563692-34332,1227131453569,#5563692,2615980884097,fulfilled,34332,1,fulfilled,0,,,,,,,
5563692-2888312,1227131453569,#5563692,2615980916865,fulfilled,2888312,1,fulfilled,0,,,,,,,
5563692-866299,1227131453569,#5563692,2615980949633,fulfilled,866299,1,fulfilled,0,,,,,,,
5563692-999885,1227131453569,#5563692,2615980982401,fulfilled,999885,1,fulfilled,0,,,,,,,
5556944-2949409,1226910335105,#5556944,2615555850369,fulfilled,2949409,1,fulfilled,0,,,,,,,
5556944-2791635,1226910335105,#5556944,2615555883137,fulfilled,2791635,1,fulfilled,0,,,,,,,
5556939-1944861,1226910171265,#5556939,2615555588225,fulfilled,1944861,1,fulfilled,0,,,,,,,
5556939-2960875,1226910171265,#5556939,2615555620993,fulfilled,2960875,1,fulfilled,0,,,,,,,
5556913-2588964,1226909319297,#5556913,2615553654913,fulfilled,2588964,1,fulfilled,0,,,,,,,
5556913-24376989,1226909319297,#5556913,2615553687681,fulfilled,24376989,5,fulfilled,0,,,,,,,
5556913-608177,1226909319297,#5556913,2615553720449,fulfilled,608177,1,fulfilled,0,,,,,,,
5556912-678826,1226909286529,#5556912,2615553491073,partial,678826,1,pending,1,,,,,,,
5556912-239924,1226909286529,#5556912,2615553523841,partial,239924,1,fulfilled,0,,,,,,,
5556912-410978,1226909286529,#5556912,2615553556609,partial,410978,1,pending,1,,,,,,,
5556912-783487,1226909286529,#5556912,2615553589377,partial,783487,1,fulfilled,0,,,,,,,
5556912-380479,1226909286529,#5556912,2615553622145,partial,380479,2,fulfilled,0,,,,,,,
5556895-510395,1226908729473,#5556895,2615552540801,partial,510395,1,fulfilled,0,,,,,,,
5556895-382955,1226908729473,#5556895,2615552573569,partial,382955,1,fulfilled,0,,,,,,,
5556895-827873,1226908729473,#5556895,2615552606337,partial,827873,1,pending,1,,,,,,,
5556895-2843304,1226908729473,#5556895,2615552639105,partial,2843304,1,fulfilled,0,,,,,,,
5556895-2542508,1226908729473,#5556895,2615552671873,partial,2542508,1,fulfilled,0,,,,,,,
5556860-519054,1226907582593,#5556860,2615549984897,partial,519054,1,fulfilled,0,,,,,,,
5556860-13579,1226907582593,#5556860,2615550017665,partial,13579,3,pending,3,,,,,,,
5556860-13109,1226907582593,#5556860,2615550050433,partial,13109,2,fulfilled,0,,,,,,,
5556860-380107,1226907582593,#5556860,2615550083201,partial,380107,1,pending,1,,,,,,,
5556860-601716,1226907582593,#5556860,2615550115969,partial,601716,1,pending,1,,,,,,,
5556860-35714,1226907582593,#5556860,2615550148737,partial,35714,1,pending,1,,,,,,,
5556860-798080,1226907582593,#5556860,2615550181505,partial,798080,5,pending,5,,,,,,,
5556860-380479,1226907582593,#5556860,2615550214273,partial,380479,1,pending,1,,,,,,,
5556786-1938297,1226905157761,#5556786,2615544643713,partial,1938297,1,fulfilled,0,,,,,,,
5556786-1883469,1226905157761,#5556786,2615544676481,partial,1883469,1,fulfilled,0,,,,,,,
5556786-496993,1226905157761,#5556786,2615544709249,partial,496993,1,pending,1,,,,,,,
5556653-496993,1226900799617,#5556653,2615534911617,partial,496993,1,pending,1,,,,,,,
5556653-2942998,1226900799617,#5556653,2615534944385,partial,2942998,1,pending,1,,,,,,,
5556653-442901,1226900799617,#5556653,2615534977153,partial,442901,1,pending,1,,,,,,,
5556653-2955341,1226900799617,#5556653,2615535009921,partial,2955341,1,pending,1,,,,,,,
5556653-2870132,1226900799617,#5556653,2615535042689,partial,2870132,1,fulfilled,0,,,,,,,
5556653-2942996,1226900799617,#5556653,2615535075457,partial,2942996,1,pending,1,,,,,,,
5556653-147140,1226900799617,#5556653,2615535108225,partial,147140,1,fulfilled,0,,,,,,,
5556653-920557,1226900799617,#5556653,2615535140993,partial,920557,1,pending,1,,,,,,,
5556653-582353,1226900799617,#5556653,2615535173761,partial,582353,1,fulfilled,0,,,,,,,
5556653-959170,1226900799617,#5556653,2615535206529,partial,959170,1,pending,1,,,,,,,
5556653-621475,1226900799617,#5556653,2615535239297,partial,621475,1,fulfilled,0,,,,,,,
5556653-684968,1226900799617,#5556653,2615535272065,partial,684968,1,pending,1,,,,,,,
5556653-684976,1226900799617,#5556653,2615535304833,partial,684976,1,fulfilled,0,,,,,,,
5556620-2895267,1226899718273,#5556620,2615532748929,fulfilled,2895267,1,fulfilled,0,,,,,,,
5556620-934441,1226899718273,#5556620,2615532781697,fulfilled,934441,1,fulfilled,0,,,,,,,
5556617-678824,1226899619969,#5556617,2615532224641,fulfilled,678824,1,fulfilled,0,,,,,,,
5556617-575245,1226899619969,#5556617,2615532257409,fulfilled,575245,1,fulfilled,0,,,,,,,
5556617-20071,1226899619969,#5556617,2615532290177,fulfilled,20071,4,fulfilled,0,,,,,,,
5556617-20711,1226899619969,#5556617,2615532322945,fulfilled,20711,1,fulfilled,0,,,,,,,
5556617-31891,1226899619969,#5556617,2615532355713,fulfilled,31891,1,fulfilled,0,,,,,,,
5556617-12243,1226899619969,#5556617,2615532388481,fulfilled,12243,1,fulfilled,0,,,,,,,
5556617-380479,1226899619969,#5556617,2615532421249,fulfilled,380479,1,fulfilled,0,,,,,,,
5556617-613660,1226899619969,#5556617,2615532454017,fulfilled,613660,1,fulfilled,0,,,,,,,
5556617-572002,1226899619969,#5556617,2615532486785,fulfilled,572002,1,fulfilled,0,,,,,,,
5556617-2698286,1226899619969,#5556617,2615532519553,fulfilled,2698286,1,fulfilled,0,,,,,,,
5556617-24401678,1226899619969,#5556617,2615532552321,fulfilled,24401678,1,fulfilled,0,,,,,,,
5556617-13523,1226899619969,#5556617,2615532585089,fulfilled,13523,3,fulfilled,0,,,,,,,
5556616-1748592,1226899587201,#5556616,2615532126337,partial,1748592,1,fulfilled,0,,,,,,,
5556616-502504,1226899587201,#5556616,2615532159105,partial,502504,1,pending,1,,,,,,,
5556616-518678,1226899587201,#5556616,2615532191873,partial,518678,1,fulfilled,0,,,,,,,
5556608-384784,1226899325057,#5556608,2615531438209,partial,384784,2,pending,2,,,,,,,
5556608-2942019,1226899325057,#5556608,2615531470977,partial,2942019,1,fulfilled,0,,,,,,,
5556608-179891,1226899325057,#5556608,2615531503745,partial,179891,1,fulfilled,0,,,,,,,
5556513-1012930,1226896212097,#5556513,2615525048449,partial,1012930,1,fulfilled,0,,,,,,,
5556513-132363,1226896212097,#5556513,2615525081217,partial,132363,1,fulfilled,0,,,,,,,
5556513-132094,1226896212097,#5556513,2615525113985,partial,132094,1,pending,1,,,,,,,
5556513-491714,1226896212097,#5556513,2615525146753,partial,491714,1,pending,1,,,,,,,
5556513-2943015,1226896212097,#5556513,2615525179521,partial,2943015,1,pending,1,,,,,,,
5556391-807583,1226892214401,#5556391,2615516594305,fulfilled,807583,1,fulfilled,0,,,,,,,
5556391-2831889,1226892214401,#5556391,2615516627073,fulfilled,2831889,1,fulfilled,0,,,,,,,
5556374-744185,1226891657345,#5556374,2615515512961,partial,744185,1,pending,1,,,,,,,
5556374-1716542,1226891657345,#5556374,2615515545729,partial,1716542,1,fulfilled,0,,,,,,,
5556374-2858952,1226891657345,#5556374,2615515578497,partial,2858952,1,fulfilled,0,,,,,,,
5556270-2941973,1226888249473,#5556270,2615509385345,fulfilled,2941973,1,fulfilled,0,,,,,,,
5556270-1674314,1226888249473,#5556270,2615509418113,fulfilled,1674314,1,fulfilled,0,,,,,,,
5556206-571863,1226886152321,#5556206,2615505027201,partial,571863,3,fulfilled,0,,,,,,,
5556206-737599,1226886152321,#5556206,2615505059969,partial,737599,1,fulfilled,0,,,,,,,
5556206-343053,1226886152321,#5556206,2615505092737,partial,343053,1,fulfilled,0,,,,,,,
5556206-775492,1226886152321,#5556206,2615505125505,partial,775492,2,fulfilled,0,,,,,,,
5556206-2905548,1226886152321,#5556206,2615505158273,partial,2905548,1,fulfilled,0,,,,,,,
5556206-ecofee-sku-1,1226886152321,#5556206,2615505191041,partial,ecofee-sku-1,3,pending,3,,,,,,,
5556206-ecofee-sku-2,1226886152321,#5556206,2615505223809,partial,ecofee-sku-2,1,pending,1,,,,,,,
5545158-1926181,1226524131457,#5545158,2614885515393,partial,1926181,1,fulfilled,0,,,,,,,
5545158-2944926,1226524131457,#5545158,2614885548161,partial,2944926,1,fulfilled,0,,,,,,,
5545158-ecofee-sku-1,1226524131457,#5545158,2614885580929,partial,ecofee-sku-1,1,pending,1,,,,,,,
5544752-728615,1226510827649,#5544752,2614862512257,fulfilled,728615,3,fulfilled,0,,,,,,,
5544752-24339497,1226510827649,#5544752,2614862545025,fulfilled,24339497,1,fulfilled,0,,,,,,,
5544722-2720652,1226509844609,#5544722,2614860906625,fulfilled,2720652,1,fulfilled,0,,,,,,,
5544722-2949695,1226509844609,#5544722,2614860939393,fulfilled,2949695,1,fulfilled,0,,,,,,,
5544720-1641094,1226509779073,#5544720,2614860808321,fulfilled,1641094,1,fulfilled,0,,,,,,,
5544720-2727456,1226509779073,#5544720,2614860841089,fulfilled,2727456,1,fulfilled,0,,,,,,,
5544717-483636,1226509680769,#5544717,2614860546177,partial,483636,1,fulfilled,0,,,,,,,
5544717-1598073,1226509680769,#5544717,2614860578945,partial,1598073,1,pending,1,,,,,,,
5544717-1240904,1226509680769,#5544717,2614860611713,partial,1240904,1,fulfilled,0,,,,,,,
5544717-2402352,1226509680769,#5544717,2614860644481,partial,2402352,1,pending,1,,,,,,,
5544689-24337468,1226508763265,#5544689,2614859202689,fulfilled,24337468,1,fulfilled,0,,,,,,,
5544689-24400875,1226508763265,#5544689,2614859235457,fulfilled,24400875,1,fulfilled,0,,,,,,,
5544689-2440491,1226508763265,#5544689,2614859268225,fulfilled,2440491,3,fulfilled,0,,,,,,,
5544689-31475,1226508763265,#5544689,2614859300993,fulfilled,31475,1,fulfilled,0,,,,,,,
5544689-2937160,1226508763265,#5544689,2614859333761,fulfilled,2937160,1,fulfilled,0,,,,,,,
5544689-277506,1226508763265,#5544689,2614859366529,fulfilled,277506,5,fulfilled,0,,,,,,,
5544682-2895265,1226508533889,#5544682,2614858842241,fulfilled,2895265,1,fulfilled,0,,,,,,,
5544682-2895267,1226508533889,#5544682,2614858875009,fulfilled,2895267,1,fulfilled,0,,,,,,,
5544674-798471,1226508271745,#5544674,2614858350721,fulfilled,798471,1,fulfilled,0,,,,,,,
5544674-391318,1226508271745,#5544674,2614858383489,fulfilled,391318,1,fulfilled,0,,,,,,,
5544674-13556,1226508271745,#5544674,2614858416257,fulfilled,13556,2,fulfilled,0,,,,,,,
5544674-823518,1226508271745,#5544674,2614858449025,fulfilled,823518,2,fulfilled,0,,,,,,,
5544674-428946,1226508271745,#5544674,2614858481793,fulfilled,428946,2,fulfilled,0,,,,,,,
5544644-2925104,1226507288705,#5544644,2614856810625,fulfilled,2925104,1,fulfilled,0,,,,,,,
5544644-711520,1226507288705,#5544644,2614856843393,fulfilled,711520,1,fulfilled,0,,,,,,,
5544644-798089,1226507288705,#5544644,2614856876161,fulfilled,798089,1,fulfilled,0,,,,,,,
5544639-673070,1226507124865,#5544639,2614856515713,partial,673070,1,pending,1,,,,,,,
5544639-798100,1226507124865,#5544639,2614856548481,partial,798100,1,fulfilled,0,,,,,,,
5544639-934443,1226507124865,#5544639,2614856581249,partial,934443,1,fulfilled,0,,,,,,,
5544632-2959488,1226506895489,#5544632,2614856089729,partial,2959488,1,fulfilled,0,,,,,,,
5544632-2948705,1226506895489,#5544632,2614856122497,partial,2948705,1,fulfilled,0,,,,,,,
5544632-2933563,1226506895489,#5544632,2614856155265,partial,2933563,1,fulfilled,0,,,,,,,
5544632-2933568,1226506895489,#5544632,2614856188033,partial,2933568,1,fulfilled,0,,,,,,,
5544632-2952703,1226506895489,#5544632,2614856220801,partial,2952703,1,pending,1,,,,,,,
5544503-2882867,1226502668417,#5544503,2614848520321,partial,2882867,1,fulfilled,0,,,,,,,
5544503-20146,1226502668417,#5544503,2614848553089,partial,20146,1,fulfilled,0,,,,,,,
5544503-383968,1226502668417,#5544503,2614848585857,partial,383968,8,fulfilled,0,,,,,,,
5544503-12937,1226502668417,#5544503,2614848618625,partial,12937,1,fulfilled,0,,,,,,,
5544503-12941,1226502668417,#5544503,2614848651393,partial,12941,1,fulfilled,0,,,,,,,
5544503-12943,1226502668417,#5544503,2614848684161,partial,12943,1,fulfilled,0,,,,,,,
5544503-12939,1226502668417,#5544503,2614848716929,partial,12939,1,fulfilled,0,,,,,,,
5544503-ecofee-sku-1,1226502668417,#5544503,2614848749697,partial,ecofee-sku-1,1,pending,1,,,,,,,
5544453-2625540,1226501030017,#5544453,2614845571201,fulfilled,2625540,1,fulfilled,0,,,,,,,
5544453-2942009,1226501030017,#5544453,2614845603969,fulfilled,2942009,1,fulfilled,0,,,,,,,
5544452-2566371,1226500997249,#5544452,2614845374593,partial,2566371,1,fulfilled,0,,,,,,,
5544452-1017452,1226500997249,#5544452,2614845407361,partial,1017452,1,fulfilled,0,,,,,,,
5544452-2926090,1226500997249,#5544452,2614845440129,partial,2926090,1,fulfilled,0,,,,,,,
5544452-2939386,1226500997249,#5544452,2614845472897,partial,2939386,1,fulfilled,0,,,,,,,
5544452-2937548,1226500997249,#5544452,2614845505665,partial,2937548,1,fulfilled,0,,,,,,,
5544452-2866466,1226500997249,#5544452,2614845538433,partial,2866466,1,pending,1,,,,,,,
5544449-2967223,1226500898945,#5544449,2614845177985,fulfilled,2967223,1,fulfilled,0,,,,,,,
5544449-956894,1226500898945,#5544449,2614845210753,fulfilled,956894,2,fulfilled,0,,,,,,,
5544449-582353,1226500898945,#5544449,2614845243521,fulfilled,582353,4,fulfilled,0,,,,,,,
5544420-897459,1226499948673,#5544420,2614843408513,fulfilled,897459,1,fulfilled,0,,,,,,,
5544420-2959246,1226499948673,#5544420,2614843441281,fulfilled,2959246,1,fulfilled,0,,,,,,,
5544408-45124,1226499555457,#5544408,2614842654849,fulfilled,45124,2,fulfilled,0,,,,,,,
5544408-181524,1226499555457,#5544408,2614842687617,fulfilled,181524,1,fulfilled,0,,,,,,,
5544408-181525,1226499555457,#5544408,2614842720385,fulfilled,181525,1,fulfilled,0,,,,,,,
5544408-181515,1226499555457,#5544408,2614842753153,fulfilled,181515,1,fulfilled,0,,,,,,,
5544310-2935304,1226496344193,#5544310,2614836625537,partial,2935304,1,fulfilled,0,,,,,,,
5544310-2939386,1226496344193,#5544310,2614836658305,partial,2939386,1,pending,1,,,,,,,
5544310-2935297,1226496344193,#5544310,2614836691073,partial,2935297,1,fulfilled,0,,,,,,,
5544247-326653,1226494279809,#5544247,2614832758913,partial,326653,1,pending,1,,,,,,,
5544247-736198,1226494279809,#5544247,2614832791681,partial,736198,1,pending,1,,,,,,,
5544247-918374,1226494279809,#5544247,2614832824449,partial,918374,1,fulfilled,0,,,,,,,
5544247-2728675,1226494279809,#5544247,2614832857217,partial,2728675,1,fulfilled,0,,,,,,,
5544171-2938185,1226491789441,#5544171,2614827843713,partial,2938185,1,fulfilled,0,,,,,,,
5544171-703715,1226491789441,#5544171,2614827876481,partial,703715,1,fulfilled,0,,,,,,,
5544171-2448780,1226491789441,#5544171,2614827909249,partial,2448780,1,pending,1,,,,,,,
5544171-ecofee-sku-1,1226491789441,#5544171,2614827942017,partial,ecofee-sku-1,1,pending,1,,,,,,,
5544170-278518,1226491756673,#5544170,2614827483265,partial,278518,1,fulfilled,0,,,,,,,
5544170-13597,1226491756673,#5544170,2614827516033,partial,13597,1,pending,1,,,,,,,
5544170-85597,1226491756673,#5544170,2614827548801,partial,85597,1,pending,1,,,,,,,
5544170-807837,1226491756673,#5544170,2614827581569,partial,807837,1,pending,1,,,,,,,
5544170-23999188,1226491756673,#5544170,2614827614337,partial,23999188,1,fulfilled,0,,,,,,,
5544170-618854,1226491756673,#5544170,2614827647105,partial,618854,1,pending,1,,,,,,,
5544170-751595,1226491756673,#5544170,2614827679873,partial,751595,1,pending,1,,,,,,,
5544170-798080,1226491756673,#5544170,2614827712641,partial,798080,1,pending,1,,,,,,,
5544170-2537591,1226491756673,#5544170,2614827745409,partial,2537591,1,pending,1,,,,,,,
5544170-1609888,1226491756673,#5544170,2614827778177,partial,1609888,1,fulfilled,0,,,,,,,
5544170-40202,1226491756673,#5544170,2614827810945,partial,40202,1,pending,1,,,,,,,
5544163-2962370,1226491527297,#5544163,2614827188353,fulfilled,2962370,2,fulfilled,0,,,,,,,
5544163-580038,1226491527297,#5544163,2614827221121,fulfilled,580038,2,fulfilled,0,,,,,,,
5544141-33219,1226490806401,#5544141,2614825910401,fulfilled,33219,1,fulfilled,0,,,,,,,
5544141-1641094,1226490806401,#5544141,2614825943169,fulfilled,1641094,1,fulfilled,0,,,,,,,
5544141-2727456,1226490806401,#5544141,2614825975937,fulfilled,2727456,1,fulfilled,0,,,,,,,
5544033-2878870,1226487267457,#5544033,2614818046081,partial,2878870,1,pending,1,,,,,,,
5544033-519195,1226487267457,#5544033,2614818078849,partial,519195,1,fulfilled,0,,,,,,,
5544033-277506,1226487267457,#5544033,2614818111617,partial,277506,1,pending,1,,,,,,,
5544033-2942996,1226487267457,#5544033,2614818144385,partial,2942996,1,fulfilled,0,,,,,,,
5543879-2895457,1226482221185,#5543879,2614807429249,fulfilled,2895457,1,fulfilled,0,,,,,,,
5543879-496993,1226482221185,#5543879,2614807462017,fulfilled,496993,1,fulfilled,0,,,,,,,
5543879-2935297,1226482221185,#5543879,2614807494785,fulfilled,2935297,1,fulfilled,0,,,,,,,
5543879-142311,1226482221185,#5543879,2614807527553,fulfilled,142311,1,fulfilled,0,,,,,,,
5543879-2935304,1226482221185,#5543879,2614807560321,fulfilled,2935304,1,fulfilled,0,,,,,,,
5543879-2846513,1226482221185,#5543879,2614807593089,fulfilled,2846513,1,fulfilled,0,,,,,,,
5543879-2938050,1226482221185,#5543879,2614807625857,fulfilled,2938050,1,fulfilled,0,,,,,,,
5543879-2955338,1226482221185,#5543879,2614807658625,fulfilled,2955338,1,fulfilled,0,,,,,,,
5543879-737032,1226482221185,#5543879,2614807691393,fulfilled,737032,1,fulfilled,0,,,,,,,
5543879-2964819,1226482221185,#5543879,2614807724161,fulfilled,2964819,1,fulfilled,0,,,,,,,
5543848-685077,1226481205377,#5543848,2614805332097,fulfilled,685077,1,fulfilled,0,,,,,,,
5543848-685038,1226481205377,#5543848,2614805364865,fulfilled,685038,1,fulfilled,0,,,,,,,
5543848-2925470,1226481205377,#5543848,2614805397633,fulfilled,2925470,3,fulfilled,0,,,,,,,
5543848-2939370,1226481205377,#5543848,2614805430401,fulfilled,2939370,2,fulfilled,0,,,,,,,
5543804-2215557,1226479763585,#5543804,2614801367169,fulfilled,2215557,1,fulfilled,0,,,,,,,
5543804-572002,1226479763585,#5543804,2614801399937,fulfilled,572002,1,fulfilled,0,,,,,,,
5543804-672742,1226479763585,#5543804,2614801432705,fulfilled,672742,2,fulfilled,0,,,,,,,
5543804-122531,1226479763585,#5543804,2614801465473,fulfilled,122531,1,fulfilled,0,,,,,,,
5543804-845716,1226479763585,#5543804,2614801498241,fulfilled,845716,2,fulfilled,0,,,,,,,
5543804-966169,1226479763585,#5543804,2614801531009,fulfilled,966169,1,fulfilled,0,,,,,,,
5543777-934443,1226478878849,#5543777,2614799663233,partial,934443,1,fulfilled,0,,,,,,,
